Player,Team,Opponent,Position,Line,Proj Goals,Proj Assists,Proj SOG,Proj Blocks,DK Points
Ryan Donato,CHI,ANA,F,NA,0.0,0.0,0.0,0.0,0.0
Sam Lafferty,CHI,ANA,F,NA,0.0,0.0,0.0,0.0,0.0
Alex Vlasic,CHI,ANA,F,NA,0.0,0.0,0.0,0.0,0.0
Ilya Mikheyev,CHI,ANA,F,NA,0.0,0.0,0.0,0.0,0.0
Louis Crevier,CHI,ANA,F,NA,0.0,0.0,0.0,0.0,0.0
Lukas Reichel,CHI,ANA,F,NA,0.0,0.0,0.0,0.0,0.0
Landon Slaggert,CHI,ANA,F,NA,0.0,0.0,0.0,0.0,0.0
Wyatt Kaiser,CHI,ANA,F,NA,0.0,0.0,0.0,0.0,0.0
Colton Dach,CHI,ANA,F,NA,0.0,0.0,0.0,0.0,0.0
Ethan Del Mastro,CHI,ANA,F,NA,0.0,0.0,0.0,0.0,0.0
Ryan Greene,CHI,ANA,F,NA,0.0,0.0,0.0,0.0,0.0
Frank Nazar,CHI,ANA,F,NA,0.0,0.0,0.0,0.0,0.0
Sam Rinzel,CHI,ANA,F,NA,0.0,0.0,0.0,0.0,0.0
Connor Bedard,CHI,ANA,F,NA,0.0,0.0,0.0,0.0,0.0
Oliver Moore,CHI,ANA,F,NA,0.0,0.0,0.0,0.0,0.0
Artyom Levshunov,CHI,ANA,F,NA,0.0,0.0,0.0,0.0,0.0
