Player,Team,Opponent,Position,Line,Proj Goals,Proj Assists,Proj SOG,Proj Blocks,DK Points
Taylor Hall,CAR,SJS,F,NA,0.0,0.0,0.0,0.0,0.0
Mike Reilly,CAR,SJS,F,NA,0.0,0.0,0.0,0.0,0.0
Mark Jankowski,CAR,SJS,F,NA,0.0,0.0,0.0,0.0,0.0
Shayne Gostisbehere,CAR,SJS,F,NA,0.0,0.0,0.0,0.0,0.0
Jordan Martinook,CAR,SJS,F,NA,0.0,0.0,0.0,0.0,0.0
Jaccob Slavin,CAR,SJS,F,NA,0.0,0.0,0.0,0.0,0.0
William Carrier,CAR,SJS,F,NA,0.0,0.0,0.0,0.0,0.0
Nikolaj Ehlers,CAR,SJS,F,NA,0.0,0.0,0.0,0.0,0.0
Sebastian Aho,CAR,SJS,F,NA,0.0,0.0,0.0,0.0,0.0
Jalen Chatfield,CAR,SJS,F,NA,0.0,0.0,0.0,0.0,0.0
Sean Walker,CAR,SJS,F,NA,0.0,0.0,0.0,0.0,0.0
Eric Robinson,CAR,SJS,F,NA,0.0,0.0,0.0,0.0,0.0
K'Andre Miller,CAR,SJS,F,NA,0.0,0.0,0.0,0.0,0.0
Jesperi Kotkaniemi,CAR,SJS,F,NA,0.0,0.0,0.0,0.0,0.0
Andrei Svechnikov,CAR,SJS,F,NA,0.0,0.0,0.0,0.0,0.0
Domenick Fensore,CAR,SJS,F,NA,0.0,0.0,0.0,0.0,0.0
Seth Jarvis,CAR,SJS,F,NA,0.0,0.0,0.0,0.0,0.0
Alexander Nikishin,CAR,SJS,F,NA,0.0,0.0,0.0,0.0,0.0
Logan Stankoven,CAR,SJS,F,NA,0.0,0.0,0.0,0.0,0.0
Justin Robidas,CAR,SJS,F,NA,0.0,0.0,0.0,0.0,0.0
Jackson Blake,CAR,SJS,F,NA,0.0,0.0,0.0,0.0,0.0
Joel Nystrom,CAR,SJS,F,NA,0.0,0.0,0.0,0.0,0.0
Bradly Nadeau,CAR,SJS,F,NA,0.0,0.0,0.0,0.0,0.0
Charles Alexis Legault,CAR,SJS,F,NA,0.0,0.0,0.0,0.0,0.0
Jamie Benn,DAL,PIT,F,NA,0.0,0.0,0.0,0.0,0.0
Matt Duchene,DAL,PIT,F,NA,0.0,0.0,0.0,0.0,0.0
Alex Petrovic,DAL,PIT,F,NA,0.0,0.0,0.0,0.0,0.0
Tyler Seguin,DAL,PIT,F,NA,0.0,0.0,0.0,0.0,0.0
Colin Blackwell,DAL,PIT,F,NA,0.0,0.0,0.0,0.0,0.0
Radek Faksa,DAL,PIT,F,NA,0.0,0.0,0.0,0.0,0.0
Esa Lindell,DAL,PIT,F,NA,0.0,0.0,0.0,0.0,0.0
Adam Erne,DAL,PIT,F,NA,0.0,0.0,0.0,0.0,0.0
Mikko Rantanen,DAL,PIT,F,NA,0.0,0.0,0.0,0.0,0.0
Roope Hintz,DAL,PIT,F,NA,0.0,0.0,0.0,0.0,0.0
Kyle Capobianco,DAL,PIT,F,NA,0.0,0.0,0.0,0.0,0.0
