PlayerRaw,NormName,SV_season,SV_recent,SV_last
Jeff Skinner,JEFF SKINNER,0.8957999999999999,0.8957999999999999,0.9143000000000001
Zach Hyman,ZACH HYMAN,0.88,0.88,0.8843000000000001
Erik Gudbranson,ERIK GUDBRANSON,0.8409,0.8409,0.8845999999999999
Taylor Hall,TAYLOR HALL,0.9055,0.9055,0.8822
Tyler Seguin,TYLER SEGUIN,0.9415,0.9415,0.9129999999999999
Dylan McIlrath,DYLAN MCILRATH,1.0,1.0,0.8969
Mikael Granlund,MIKAEL GRANLUND,0.8701000000000001,0.8701000000000001,0.8970999999999999
Nino Niederreiter,NINO NIEDERREITER,0.9173,0.9173,0.9365000000000001
Bryan Rust,BRYAN RUST,0.8859999999999999,0.8859999999999999,0.8540000000000001
Sam Carrick,SAM CARRICK,0.9353,0.9353,0.9293
Brendan Gallagher,BRENDAN GALLAGHER,0.8933,0.8933,0.8979
John Klingberg,JOHN KLINGBERG,0.8955,0.8955,0.9151
Mark Stone,MARK STONE,0.7925,0.7925,0.8964
Colin Blackwell,COLIN BLACKWELL,0.915,0.915,0.9022
Ondrej Palat,ONDREJ PALAT,0.9007,0.9007,0.9048
Josh Manson,JOSH MANSON,0.9209,0.9209,0.8675
Dylan DeMelo,DYLAN DEMELO,0.9120999999999999,0.9120999999999999,0.9152
Nick Seeler,NICK SEELER,0.8837999999999999,0.8837999999999999,0.8891
Sean Kuraly,SEAN KURALY,0.8873000000000001,0.8873000000000001,0.9020999999999999
Vincent Trocheck,VINCENT TROCHECK,0.8553000000000001,0.8553000000000001,0.8734999999999999
Adam Lowry,ADAM LOWRY,0.8659,0.8659,0.9106000000000001
Nick Cousins,NICK COUSINS,0.8953,0.8953,0.9027
Blake Coleman,BLAKE COLEMAN,0.9004000000000001,0.9004000000000001,0.8928
Jean-Gabriel Pageau,JEAN-GABRIEL PAGEAU,0.8952,0.8952,0.8837999999999999
Mike Reilly,MIKE REILLY,0.9155,0.9155,0.9196
Joseph LaBate,JOSEPH LABATE,0.75,0.75,0.9444
Scott Mayfield,SCOTT MAYFIELD,0.9052,0.9052,0.9098999999999999
Boone Jenner,BOONE JENNER,0.8472,0.8472,0.8906000000000001
Brandon Saad,BRANDON SAAD,0.9167000000000001,0.9167000000000001,0.8814
Joel Edmundson,JOEL EDMUNDSON,0.9083,0.9083,0.9134
William Karlsson,WILLIAM KARLSSON,0.8913,0.8913,0.9272
Nikita Kucherov,NIKITA KUCHEROV,0.892,0.892,0.8903
Ryan Nugent-Hopkins,RYAN NUGENT-HOPKINS,0.8526,0.8526,0.8951
Gabriel Landeskog,GABRIEL LANDESKOG,0.9240999999999999,0.9240999999999999,
Jonathan Huberdeau,JONATHAN HUBERDEAU,0.8939,0.8939,0.8859
Adam Larsson,ADAM LARSSON,0.875,0.875,0.893
Ryan Strome,RYAN STROME,0.878,0.878,0.9018999999999999
Mika Zibanejad,MIKA ZIBANEJAD,0.8859,0.8859,0.8698999999999999
Mark Scheifele,MARK SCHEIFELE,0.8876000000000001,0.8876000000000001,0.9051
Sean Couturier,SEAN COUTURIER,0.8744,0.8744,0.8819
